Product Card Id,Product Name,Product Category Id,Category Name,Department Id,Department Name,Product Price
1360,Smart watch ,73,Sporting Goods,2,Fitness,327.75
365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,59.99
627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,39.99
502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,50.0
278,Under Armour Men's Compression EV SL Slide,13,Electronics,3,Footwear,44.99
249,Under Armour Women's Micro G Skulpt Running S,12,Boxing & MMA,3,Footwear,54.97
191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,99.99
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,41,Trade-In,6,Outdoors,21.99
828,Bridgestone e6 Straight Distance NFL San Dieg,37,Electronics,6,Outdoors,31.99
642,Columbia Men's PFG Anchor Tough T-Shirt,29,Shop By Sport,5,Golf,30.0
818,Titleist Pro V1x Golf Balls,37,Electronics,6,Outdoors,47.99
825,Bridgestone e6 Straight Distance NFL Tennesse,37,Electronics,6,Outdoors,31.99
306,Polar FT4 Heart Rate Monitor,38,Kids' Golf Clubs,6,Outdoors,89.99
977,ENO Atlas Hammock Straps,44,Hunting & Shooting,7,Fan Shop,29.99
44,adidas Men's F10 Messi TRX FG Soccer Cleat,3,Baseball & Softball,2,Fitness,59.99
251,Brooks Women's Ghost 6 Running Shoe,12,Boxing & MMA,3,Footwear,89.99
403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,129.99
957,Diamondback Women's Serene Classic Comfort Bi,43,Camping & Hiking,7,Fan Shop,299.98
1352,Industrial consumer electronics,65,Consumer Electronics,10,Technology,252.88
1349,Web Camera,62,Cameras ,10,Technology,452.04
1351,Dell Laptop,64,Computers,10,Technology,1500.0
60,SOLE E25 Elliptical,4,Basketball,2,Fitness,999.99
24,Elevation Training Mask 2.0,2,Soccer,2,Fitness,79.99
567,adidas Men's Germany Black Crest Away Tee,26,Girls' Apparel,5,Golf,25.0
893,Team Golf Pittsburgh Steelers Putter Grip,40,Accessories,6,Outdoors,24.99
924,Glove It Urban Brick Golf Towel,41,Trade-In,6,Outdoors,15.99
905,Team Golf Texas Longhorns Putter Grip,40,Accessories,6,Outdoors,24.99
564,Nike Men's Deutschland Weltmeister Winners Bl,26,Girls' Apparel,5,Golf,30.0
885,Team Golf St. Louis Cardinals Putter Grip,40,Accessories,6,Outdoors,24.99
1363,Summer dresses,76,Women's Clothing,4,Apparel,215.82
1353,Porcelain crafts,66,Crafts,4,Apparel,461.48
1357,Men's gala suit,70,Men's Clothing,4,Apparel,210.85
906,Team Golf Tennessee Volunteers Putter Grip,40,Accessories,6,Outdoors,24.99
886,Team Golf San Francisco Giants Putter Grip,40,Accessories,6,Outdoors,24.99
926,Glove It Imperial Golf Towel,41,Trade-In,6,Outdoors,15.99
116,Nike Men's Comfort 2 Slide,6,Tennis & Racquet,2,Fitness,44.99
235,Under Armour Hustle Storm Medium Duffle Bag,11,Fitness Accessories,3,Footwear,34.99
273,Under Armour Kids' Mercenary Slide,13,Electronics,3,Footwear,27.99
282,Under Armour Women's Ignite PIP VI Slide,13,Electronics,3,Footwear,31.99
359,Nike Men's Free TR 5.0 TB Training Shoe,16,As Seen on  TV!,3,Footwear,99.99
565,adidas Youth Germany Black/Red Away Match Soc,26,Girls' Apparel,5,Golf,70.0
572,TYR Boys' Team Digi Jammer,26,Girls' Apparel,5,Golf,39.99
804,Glove It Women's Imperial Golf Glove,36,Golf Balls,6,Outdoors,19.99
822,Titleist Pro V1x High Numbers Golf Balls,37,Electronics,6,Outdoors,47.99
